k,arm,score_name,threshold,coverage,selective_risk,selective_accuracy,accepted_count,abstained_count
3,p0,one_minus_normalized_entropy,0.9974101260618474,0.7996031746031746,0.0,1.0,403,101
3,p0,one_minus_normalized_entropy,0.9976051248590045,0.7896825396825397,0.0,1.0,398,106
3,p0,one_minus_normalized_entropy,0.9977545795809571,0.7797619047619048,0.0,1.0,393,111
3,p0,one_minus_normalized_entropy,0.9980104842982378,0.7698412698412699,0.0,1.0,388,116
3,p0,one_minus_normalized_entropy,0.9982597933498216,0.7599206349206349,0.0,1.0,383,121
3,p0,one_minus_normalized_entropy,0.9984821291896449,0.75,0.0,1.0,378,126
3,p0,one_minus_normalized_entropy,0.9986493214077893,0.7400793650793651,0.0,1.0,373,131
3,p0,one_minus_normalized_entropy,0.9987243182588533,0.7301587301587301,0.0,1.0,368,136
3,p0,one_minus_normalized_entropy,0.998829153051726,0.7202380952380952,0.0,1.0,363,141
3,p0,one_minus_normalized_entropy,0.998997322874002,0.7103174603174603,0.0,1.0,358,146
3,p0,one_minus_normalized_entropy,0.9990887525284007,0.7003968253968254,0.0,1.0,353,151
3,p0,one_minus_normalized_entropy,0.9992214619783834,0.6904761904761905,0.0,1.0,348,156
3,p0,one_minus_normalized_entropy,0.999253124986782,0.6805555555555556,0.0,1.0,343,161
3,p0,one_minus_normalized_entropy,0.999337602602207,0.6706349206349206,0.0,1.0,338,166
3,p0,one_minus_normalized_entropy,0.9993932987753587,0.6587301587301587,0.0,1.0,332,172
3,p0,one_minus_normalized_entropy,0.9994172650848022,0.6488095238095238,0.0,1.0,327,177
3,p0,one_minus_normalized_entropy,0.9994693475012495,0.6388888888888888,0.0,1.0,322,182
3,p0,one_minus_normalized_entropy,0.9995520827732283,0.628968253968254,0.0,1.0,317,187
3,p0,one_minus_normalized_entropy,0.9996085503025759,0.6190476190476191,0.0,1.0,312,192
3,p0,one_minus_normalized_entropy,0.9996569474777537,0.6091269841269841,0.0,1.0,307,197
3,p0,one_minus_normalized_entropy,0.999694529687332,0.5992063492063492,0.0,1.0,302,202
3,p0,one_minus_normalized_entropy,0.9997613515511488,0.5892857142857143,0.0,1.0,297,207
3,p0,one_minus_normalized_entropy,0.9997904084641396,0.5793650793650794,0.0,1.0,292,212
3,p0,one_minus_normalized_entropy,0.9998096695095788,0.5694444444444444,0.0,1.0,287,217
3,p0,one_minus_normalized_entropy,0.9998329867527177,0.5595238095238095,0.0,1.0,282,222
3,p0,one_minus_normalized_entropy,0.9998956777755491,0.5496031746031746,0.0,1.0,277,227
3,p0,one_minus_normalized_entropy,0.9999165675735581,0.5396825396825397,0.0,1.0,272,232
3,p0,one_minus_normalized_entropy,0.9999517496908643,0.5297619047619048,0.0,1.0,267,237
3,p0,one_minus_normalized_entropy,0.9999624476069927,0.5198412698412699,0.0,1.0,262,242
3,p0,one_minus_normalized_entropy,0.9999717641190063,0.5099206349206349,0.0,1.0,257,247
3,p0,one_minus_normalized_entropy,0.9999813097024677,0.5,0.0,1.0,252,252
3,p0,one_minus_normalized_entropy,0.9999837861617841,0.49007936507936506,0.0,1.0,247,257
3,p0,one_minus_normalized_entropy,0.9999864467923928,0.4801587301587302,0.0,1.0,242,262
